station,date,prcp,tobs,name,latitude,longitude,elevation
USC00519397,2016-08-23,0.0,81.0,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
USC00519397,2016-08-24,0.08,79.0,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
USC00519397,2016-08-25,0.08,80.0,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
USC00519397,2016-08-26,0.0,79.0,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
USC00519397,2016-08-27,0.0,77.0,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
USC00519397,2016-08-28,0.01,78.0,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
USC00519397,2016-08-29,0.0,78.0,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
USC00519397,2016-08-30,0.0,79.0,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
USC00519397,2016-08-31,0.13,80.0,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
USC00519397,2016-09-01,0.0,81.0,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
USC00519397,2016-09-02,0.0,80.0,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
USC00519397,2016-09-03,0.0,79.0,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
USC00519397,2016-09-04,0.03,75.0,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
USC00519397,2016-09-05,,79.0,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
USC00519397,2016-09-06,,76.0,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
USC00519397,2016-09-07,0.05,76.0,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
USC00519397,2016-09-08,0.0,80.0,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
USC00519397,2016-09-09,0.03,79.0,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
USC00519397,2016-09-10,0.0,78.0,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
USC00519397,2016-09-11,0.05,76.0,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
USC00519397,2016-09-12,0.0,78.0,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
USC00519397,2016-09-13,0.02,78.0,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
USC00519397,2016-09-14,1.32,75.0,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
USC00519397,2016-09-15,0.42,79.0,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
USC00519397,2016-09-16,0.06,80.0,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
USC00519397,2016-09-17,0.05,79.0,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
USC00519397,2016-09-18,0.0,81.0,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
USC00519397,2016-09-19,0.0,77.0,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
USC00519397,2016-09-20,0.0,77.0,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
USC00519397,2016-09-21,0.0,78.0,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
USC00519397,2016-09-22,0.02,76.0,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
USC00519397,2016-09-23,0.0,82.0,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
USC00519397,2016-09-24,0.0,81.0,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
USC00519397,2016-09-25,0.0,78.0,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
USC00519397,2016-09-26,0.06,80.0,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
USC00519397,2016-09-27,0.02,80.0,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
USC00519397,2016-09-28,0.0,79.0,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
USC00519397,2016-09-29,0.0,80.0,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
USC00519397,2016-09-30,0.0,80.0,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
USC00519397,2016-10-01,0.0,80.0,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
USC00519397,2016-10-02,0.0,79.0,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
USC00519397,2016-10-03,0.0,79.0,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
USC00519397,2016-10-04,0.0,79.0,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
USC00519397,2016-10-05,0.0,80.0,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
USC00519397,2016-10-06,0.0,80.0,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
USC00519397,2016-10-07,0.0,79.0,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
USC00519397,2016-10-08,0.0,78.0,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
USC00519397,2016-10-09,0.0,76.0,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
USC00519397,2016-10-10,0.0,75.0,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
USC00519397,2016-10-11,0.0,80.0,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
USC00519397,2016-10-12,0.0,80.0,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
USC00519397,2016-10-13,0.0,79.0,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
USC00519397,2016-10-14,0.0,80.0,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
USC00519397,2016-10-15,0.0,79.0,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
USC00519397,2016-10-16,0.0,78.0,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
USC00519397,2016-10-17,0.01,78.0,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
USC00519397,2016-10-18,0.0,80.0,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
USC00519397,2016-10-19,0.0,81.0,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
USC00519397,2016-10-20,0.0,79.0,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
USC00519397,2016-10-21,0.05,77.0,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
USC00519397,2016-10-22,0.15,79.0,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
USC00519397,2016-10-23,0.01,78.0,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
USC00519397,2016-10-24,0.0,77.0,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
USC00519397,2016-10-25,0.03,77.0,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
USC00519397,2016-10-26,0.0,78.0,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
